,Unnamed: 0,textOriginal,authorDisplayName,Prabowo,Ganjar,Anies,preprocessed
0,0,"Semua cara yang digunakan oleh Simpatisan Ganjar untuk menjatuhkan Prabowo dengan mengaitkan dengan ormas radikal yakni berusaha membentuk opini masyarakat agar rakyat pilih Ganjar dan Mahmud. Sudah saatnya orang mudah yang berprestasi dan cerdas pimpin bangsa Indonesia. Prabowo tetap Presiden. Semua Presiden dari Soekarno sampai Jokowi adalah Dinasti keluarga, dinasti suku, Dinasti kekuasaan. Jadi semua warga negara punya hak untuk menjadi pemimpin. NKRI kekuasaan ada ditangan rakyat bukan di Presiden. Jadi Gibran biar mudapun bisa pimpin ada rakyat yang kontrol kinerja melalui DPRI. Kaum muda maju terus. Jangan menciptakan opini publik untuk memenangkan Ganjar, dan menjelekan Jokowi dan menjatuhkan Prabowo dan Gibran. PDIP masanya sudah selesai. Bangsa ini bukan punya satu Partai saja. Jadi sudah  saatnya calon dari partai lainpun punya hak untuk bisa jadi pemimpin negara.",Mathias Letsoin,positif,negatif,,semua simpatisan ganjar jatuh prabowo kait ormas radikal usaha bentuk opini masyarakat rakyat pilih ganjar mahmud  sudah orang mudah prestasi cerdas pimpin bangsa indonesia  prabowo presiden  semua presiden soekarno jokowi dinasti keluarga  dinasti suku  dinasti kuasa  jadi warga negara hak pimpin  nkri kuasa tang rakyat presiden  jadi gibran biar muda pimpin rakyat kontrol kerja dpri  kaum muda maju  jangan cipta opini publik menang ganjar  jelek jokowi jatuh prabowo gibran  pdip masa selesai  bangsa partai  jadi calon partai lain hak pimpin negara 
1,1,ganjar ngomong apa si....,asa,,negatif,,ganjar ngomong si 
2,2,"Pak Prabowo Subianto bukan hanya kata tapi bukti nyata walopun tidak semua perkataannya tidak tersampaikan, jateng tetap Prabowo Subianto presiden 👍🙌",Ihsan Maulana,positif,,,pak prabowo subianto bukti nyata walopun kata  jateng prabowo subianto presiden 
3,3,Sayang merinding liat perabowo bibawa nya ❤,Harih Hari,positif,,,sayang merinding liat perabowo bibawa nya 
4,4,"6:20:25 MOMEN REFLEKSI Bp. Prabowo, jujur awalnya saya melihat seperti candaan,  dan menunjukkan sikap sebenarnya pak Prabowo yang ""tidak bisa disetir sesuka hati"" 

 saya berkaca kaca dan haru mendengarnya... Apapun sanggahnya, Refleksi Pak Prabowo, sangatlah tulus, jujur dr dalam hati, dan menyimpan kekuatan dan cita2 besar dalam kata2nya...

Benar dawuh, Alm. Gus Dur, Prabowo orang yg paling Ikhlas buat negara ini...",Puput Ansory,positif,,,  momen refleksi bp  prabowo  jujur canda  sikap prabowo  setir suka hati  kaca kaca haru dengar  apa sanggah  refleksi pak prabowo  tulus  jujur dr hati  simpan kuat cita  benar dawuh  alm  gus dur  prabowo orang yg ikhlas negara 
5,5,Pak Ganjar dan Pak Probowo lebih memiliki ide dan gagasan yang realitas dibandingkan calon satunya lagi.. keputusan ada ditangan kalian..,Three S Official,positif,positif,,pak ganjar pak probowo milik ide gagas realitas banding calon satu  putus tang 
6,6,"Jawaban dari lawan nyata dinastinya Presiden Jokowi adalah Anis Baswedan,.
Karena saya menganalisa Prabowo ataupun Ganjar Pranowo tetap Presiden Jokowi akan ikut andil di dalamnya kecuali Anis Baswedan...",Wir Dan,negatif,negatif,positif,jawab lawan nyata dinasti presiden jokowi anis baswedan   karena menganalisa prabowo ganjar pranowo presiden jokowi andil dalam kecuali anis baswedan 
7,7,Masya Allah makin cinta sama pak Anis😍🇲🇨,Bilik tuang by TUTI SOFIE,,,positif,masya allah cinta anis
8,8,"Anies lah Yg paling bagus dalam menyelesaikan permalasahan yg diajukan,
Kalau ganjar hanya cerita kosong tidak menjawab apa point yg ditanyakan, dari sini kita tau mana yg harus kita pilih",ASMAR AWI,,negatif,positif,anies yg bagus selesai permalasahan yg aju  kalau ganjar cerita kosong point yg  tau yg pilih
9,9,saya sekeluarga dukung pak anis👍,dakwah  ahlulsunah,,,positif,keluarga dukung anis
10,10,Panggah Pranowo-Gibran,Masdan Mbois,positif,,,panggah pranowo-gibran
11,11,Pak ganjar paling❤❤❤❤❤,historyHD,,positif,,pak ganjar paling
12,12,Semakin yakin pilih Ganjar-Mahfud 💪🏼,Hugo Avianto,,positif,,makin pilih ganjar-mahfud 
13,13,"Insya Allah pak prabowo menang, org plg tulus utk NKRI",Ardjuna 07,positif,,,insya allah prabowo menang  org plg tulus utk nkri
14,14,"Pak anis paling top 👍 mantap, salam perubahan ✋",Tholib Syaputra,,,positif,pak anis top  mantap  salam ubah 
15,15,Setelah saya melihat dan menilai. saya lebih cocok ARB yang cocok jadi Presiden.,Ryan1126,,,positif,telah nilai  cocok arb cocok presiden 
16,16,"Anies :    89% : skills
                -Minus: non integritas
               90% kata-kata
                10% kerja
Ganjar :   88% skills
                -Minus kurang bahasa inggris 
                55% kata-kata
               45% kerja
Prabowo:  86% skills
                   -minus: menganut paham             orba/dinasti
                   30% kata-kata
                   30% kerja 
                   40% dinasti Kartanegara 
Jokowi: 78 %: skills
              -minus dinasti keluarga, aturan konstitusi 
               20% kata-kata
               55% kerja
               25% dinasti",Geovan N,positif,positif,positif,anies    skills -minus  non integritas  kata  kerja ganjar   skills -minus bahasa inggris  kata  kerja prabowo   skills -minus  anut paham orba dinasti  kata  kerja  dinasti kartanegara jokowi    skills -minus dinasti keluarga  atur konstitusi  kata  kerja  dinasti
17,17,Dengar Anis ngomong knp y tersa mual..ingat janjinya di DKI..program ok Oce..diberimodal..dilatih..dicarikan pasarny..di Carikan pembeliny..nytanya 0 besar😂😂😂😂,Heriyanto Lazarus,,,negatif,dengar anis ngomong knp y tersa mual  janji dki  program ok oce  diberimodal  latih  cari pasarny  cari pembeliny  nytanya besar
18,18,Pendukung pak anies sini like komen,ᴏᴩᴩᴀʟⓥ,,,positif,dukung anies like komen
19,19,"Anis contoh udh contoh lagi contoh ntr contoh lagi,pas udah mejabat cmn kerjain contoh aja",Yudisthira Putra,,,negatif,anis contoh udh contoh contoh ntr contoh  pas udah mejabat cmn kerjain contoh aja
20,20,"Bismillah saya mantap pilih pak Ganjar RI 1,setiap apa yg beliau sampaikan masuk akal dan menyentuh hati saya sebagai org nda mampu❤",MAYYA DI INDONESIA,,positif,,bismillah mantap pilih ganjar ri  yg beliau masuk akal sentuh hati org nda mampu
21,21,"Paling  bagus pak prabowo untuk saat ini sbg peganti pak jokowi yg  dulu saya juga memilih pak jkw sbg presiden.
 ""Mereka tidak banyak ekspetasi,tp cita2 dan tdk ngegampangin ucapan. Yg tdk realistis.",ER18 Channel,positif,,,paling bagus prabowo sbg ganti jokowi yg pilih jkw sbg presiden   mereka ekspetasi  tp cita tdk ngegampangin ucap  yg tdk realistis 
22,22,"Rata2 lebih 80% komentar ny pilih anis smw..
Semoga menjadi sebab doanya dikabulkan tuhan beliau jadi presiden kita",Febri Fadli,,,positif,rata  komentar ny pilih anis smw  moga doa kabul tuhan beliau presiden
23,23,Makin yakin Anies terbaik,agus prasetyo Utomo,,,positif,makin anies baik
24,24,"Dari 3 capres yang di suruh refleksi, cuman prabowo subianto yang ngeyel, tp dari situ saya faham, bahwa beliau bukan type orang yang  gak bisa di atur jika harga diri bangsa di rendahkan.",dennyrisqi meyandrian,positif,,,dari capres suruh refleksi  cuman prabowo subianto ngeyel  tp situ faham  beliau type orang gak atur harga bangsa rendah 
25,25,"Di sini Saya tidak menilai siapa yang paling cerdas dan yang paling pandai berbicara, tapi saya melihat dari aura ketiga bacapres ini, yang paling cinta rakyat, tulus membantu, ikhlas, sabar, baik, tidak angkuh dendam dan ingin bekerja keras untuk kemakmuran dan kemajuan bangsa ialah pak prabowo",Julian Anto,positif,,,di saya nilai cerdas pandai bicara  aura tiga bacapres  cinta rakyat  tulus bantu  ikhlas  sabar   angkuh dendam keras makmur maju bangsa prabowo
26,26,Anies Baswedan presiden😊,Ikhwal Irmanyah bin sams,,,positif,anies baswedan presiden
27,27,"Pak ANIES? Maksud konoha itu, sini sy jelasin ya.di negara kita tu presiden nya mirip cerita nya sama kaya di anime jepang (naruto). Bukan nya buat ketidak bebasan berpendapat. Pak, hadeh.
Gagal faham ya pak? Wkkk",Rendy Pitono,,,negatif,pak anies  maksud konoha  sy jelasin ya di negara tu presiden nya cerita nya kaya anime jepang  naruto   bukan nya tidak bebas dapat  pak  hadeh  gagal faham ya  wkkk
28,28,"Segitu nya jegal anies, yg bantu anies lgsg di periksa pakai alat negara",Roni Dokzer,,,positif,segitu nya jegal anies  yg bantu anies lgsg periksa pakai alat negara
29,29,Hidup Prabowo presiden RI,windy ananda,positif,,,hidup prabowo presiden ri
30,30,Prabowo speech gw ga ngerti..tapi keren.. materinya berat bro...,My Happines,positif,,,prabowo speech gw ga ngerti  keren  materi berat bro 
31,31,Pelawak juga pak prabowo,sopian hetfield,negatif,,,lawak prabowo
