,Unnamed: 0,textOriginal,authorDisplayName,Prabowo,Ganjar,Anies,preprocessed,Prabowo2
0,1,"Semua cara yang digunakan oleh Simpatisan Ganjar untuk menjatuhkan Prabowo dengan mengaitkan dengan ormas radikal yakni berusaha membentuk opini masyarakat agar rakyat pilih Ganjar dan Mahmud. Sudah saatnya orang mudah yang berprestasi dan cerdas pimpin bangsa Indonesia. Prabowo tetap Presiden. Semua Presiden dari Soekarno sampai Jokowi adalah Dinasti keluarga, dinasti suku, Dinasti kekuasaan. Jadi semua warga negara punya hak untuk menjadi pemimpin. NKRI kekuasaan ada ditangan rakyat bukan di Presiden. Jadi Gibran biar mudapun bisa pimpin ada rakyat yang kontrol kinerja melalui DPRI. Kaum muda maju terus. Jangan menciptakan opini publik untuk memenangkan Ganjar, dan menjelekan Jokowi dan menjatuhkan Prabowo dan Gibran. PDIP masanya sudah selesai. Bangsa ini bukan punya satu Partai saja. Jadi sudah  saatnya calon dari partai lainpun punya hak untuk bisa jadi pemimpin negara.",Mathias Letsoin,Prabowo,Ganjar,,simpatisan ganjar jatuh prabowo kait ormas radikal usaha bentuk opini masyarakat rakyat pilih ganjar mahmud orang mudah prestasi cerdas pimpin bangsa indonesia prabowo presiden presiden soekarno jokowi dinasti keluarga dinasti suku dinasti kuasa warga negara hak pimpin nkri kuasa tang rakyat presiden gibran biar muda pimpin rakyat kontrol kerja dpri kaum muda maju cipta opini publik menang ganjar jelek jokowi jatuh prabowo gibran pdip masa selesai bangsa partai calon partai lain hak pimpin negara,1
1,2,ganjar ngomong apa si....,asa,,Ganjar,,ganjar omong sih,0
2,5,"Pak Prabowo Subianto bukan hanya kata tapi bukti nyata walopun tidak semua perkataannya tidak tersampaikan, jateng tetap Prabowo Subianto presiden 👍🙌",Ihsan Maulana,Prabowo,,,prabowo prabowo bukti nyata walopun kata jateng prabowo prabowo presiden jempol ke atas angkat tangan,1
3,6,Sayang merinding liat perabowo bibawa nya ❤,Harih Hari,Prabowo,,,sayang merinding lihat prabowo bibawa nya,1
4,7,"6:20:25 MOMEN REFLEKSI Bp. Prabowo, jujur awalnya saya melihat seperti candaan,  dan menunjukkan sikap sebenarnya pak Prabowo yang ""tidak bisa disetir sesuka hati"" 

 saya berkaca kaca dan haru mendengarnya... Apapun sanggahnya, Refleksi Pak Prabowo, sangatlah tulus, jujur dr dalam hati, dan menyimpan kekuatan dan cita2 besar dalam kata2nya...

Benar dawuh, Alm. Gus Dur, Prabowo orang yg paling Ikhlas buat negara ini...",Puput Ansory,Prabowo,,,momen refleksi bp prabowo jujur canda sikap prabowo setir suka hati kaca kaca dengar apa sanggah refleksi prabowo tulus jujur hati simpan kuat citacita katakatanya dawuh almarhum gus dur prabowo orang ikhlas negara,1
5,9,Pak Ganjar dan Pak Probowo lebih memiliki ide dan gagasan yang realitas dibandingkan calon satunya lagi.. keputusan ada ditangan kalian..,Three S Official,,Ganjar,,ganjar probowo milik ide gagas realitas banding calon satu putus tang,1
6,10,"Jawaban dari lawan nyata dinastinya Presiden Jokowi adalah Anis Baswedan,.
Karena saya menganalisa Prabowo ataupun Ganjar Pranowo tetap Presiden Jokowi akan ikut andil di dalamnya kecuali Anis Baswedan...",Wir Dan,Prabowo,Ganjar,Anies,lawan nyata dinasti presiden jokowi anies anies menganalisa prabowo ganjar ganjar presiden jokowi andil dalam kecuali anies anies,0
7,11,Masya Allah makin cinta sama pak Anis😍🇲🇨,Bilik tuang by TUTI SOFIE,,,Anies,masya allah cinta anies wajah senyum lebar mata hati bendera monako,0
8,12,"Anies lah Yg paling bagus dalam menyelesaikan permalasahan yg diajukan,
Kalau ganjar hanya cerita kosong tidak menjawab apa point yg ditanyakan, dari sini kita tau mana yg harus kita pilih",ASMAR AWI,,Ganjar,Anies,anies bagus selesai permalasahan aju ganjar cerita kosong point tau pilih,0
9,16,saya sekeluarga dukung pak anis👍,dakwah  ahlulsunah,,,Anies,keluarga dukung anies jempol ke atas,0
10,17,Panggah Pranowo-Gibran,Masdan Mbois,,Ganjar,,panggah ganjargibran,0
11,20,Pak ganjar paling❤❤❤❤❤,historyHD,,Ganjar,,ganjar paling,0
12,23,Semakin yakin pilih Ganjar-Mahfud 💪🏼,Hugo Avianto,,Ganjar,,pilih ganjarmahfud lengan otot warna kulit cerahsedang,0
13,24,"Insya Allah pak prabowo menang, org plg tulus utk NKRI",Ardjuna 07,Prabowo,,,insya allah prabowo menang orang pulang tulus nkri,1
14,25,"Pak anis paling top 👍 mantap, salam perubahan ✋",Tholib Syaputra,,,Anies,anies top jempol ke atas mantap salam ubah telapak tangan buka dengan jari rapat,0
15,26,Setelah saya melihat dan menilai. saya lebih cocok ARB yang cocok jadi Presiden.,Ryan1126,,,Anies,nilai cocok anies cocok presiden,0
16,28,"Anies :    89% : skills
                -Minus: non integritas
               90% kata-kata
                10% kerja
Ganjar :   88% skills
                -Minus kurang bahasa inggris 
                55% kata-kata
               45% kerja
Prabowo:  86% skills
                   -minus: menganut paham             orba/dinasti
                   30% kata-kata
                   30% kerja 
                   40% dinasti Kartanegara 
Jokowi: 78 %: skills
              -minus dinasti keluarga, aturan konstitusi 
               20% kata-kata
               55% kerja
               25% dinasti",Geovan N,Prabowo,Ganjar,Anies,anies skills minus non integritas katakata kerja ganjar skills minus bahasa inggris katakata kerja prabowo skills minus anut paham orbadinasti katakata kerja dinasti kartanegara jokowi skills minus dinasti keluarga atur konstitusi katakata kerja dinasti,1
17,30,Dengar Anis ngomong knp y tersa mual..ingat janjinya di DKI..program ok Oce..diberimodal..dilatih..dicarikan pasarny..di Carikan pembeliny..nytanya 0 besar😂😂😂😂,Heriyanto Lazarus,,,Anies,dengar anies omong ya tersa mual janji dki program ok oce diberimodal latih cari pasarny cari pembeliny nytanya wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata,0
18,31,Pendukung pak anies sini like komen,ᴏᴩᴩᴀʟⓥ,,,Anies,dukung anies like komen,0
19,32,"Anis contoh udh contoh lagi contoh ntr contoh lagi,pas udah mejabat cmn kerjain contoh aja",Yudisthira Putra,,,Anies,anies contoh contoh contoh entar contoh pas mejabat cuman kerjain contoh,0
20,36,"Bismillah saya mantap pilih pak Ganjar RI 1,setiap apa yg beliau sampaikan masuk akal dan menyentuh hati saya sebagai org nda mampu❤",MAYYA DI INDONESIA,,Ganjar,,bismillah mantap pilih ganjar ri beliau masuk akal sentuh hati orang indak mampu,0
21,40,"Paling  bagus pak prabowo untuk saat ini sbg peganti pak jokowi yg  dulu saya juga memilih pak jkw sbg presiden.
 ""Mereka tidak banyak ekspetasi,tp cita2 dan tdk ngegampangin ucapan. Yg tdk realistis.",ER18 Channel,Prabowo,,,bagus prabowo ganti jokowi pilih jkw presiden ekspetasi citacita ngegampangin ucap realistis,1
22,43,"Rata2 lebih 80% komentar ny pilih anis smw..
Semoga menjadi sebab doanya dikabulkan tuhan beliau jadi presiden kita",Febri Fadli,,,Anies,ratarata komentar nya pilih anies moga doa kabul tuhan beliau presiden,0
23,48,Makin yakin Anies terbaik,agus prasetyo Utomo,,,Anies,anies baik,0
24,49,"Dari 3 capres yang di suruh refleksi, cuman prabowo subianto yang ngeyel, tp dari situ saya faham, bahwa beliau bukan type orang yang  gak bisa di atur jika harga diri bangsa di rendahkan.",dennyrisqi meyandrian,Prabowo,,,capres suruh refleksi cuman prabowo prabowo ngeyel situ faham beliau type orang atur harga bangsa rendah,1
25,50,"Di sini Saya tidak menilai siapa yang paling cerdas dan yang paling pandai berbicara, tapi saya melihat dari aura ketiga bacapres ini, yang paling cinta rakyat, tulus membantu, ikhlas, sabar, baik, tidak angkuh dendam dan ingin bekerja keras untuk kemakmuran dan kemajuan bangsa ialah pak prabowo",Julian Anto,Prabowo,,,nilai cerdas pandai bicara aura tiga bacapres cinta rakyat tulus bantu ikhlas sabar angkuh dendam keras makmur maju bangsa prabowo,1
26,52,Anies Baswedan presiden😊,Ikhwal Irmanyah bin sams,,,Anies,anies anies presiden wajah senyum dengan mata bahagia,0
