,textOriginal,authorDisplayName,Prabowo,Ganjar,Anies
0,"Semua cara yang digunakan oleh Simpatisan Ganjar untuk menjatuhkan Prabowo dengan mengaitkan dengan ormas radikal yakni berusaha membentuk opini masyarakat agar rakyat pilih Ganjar dan Mahmud. Sudah saatnya orang mudah yang berprestasi dan cerdas pimpin bangsa Indonesia. Prabowo tetap Presiden. Semua Presiden dari Soekarno sampai Jokowi adalah Dinasti keluarga, dinasti suku, Dinasti kekuasaan. Jadi semua warga negara punya hak untuk menjadi pemimpin. NKRI kekuasaan ada ditangan rakyat bukan di Presiden. Jadi Gibran biar mudapun bisa pimpin ada rakyat yang kontrol kinerja melalui DPRI. Kaum muda maju terus. Jangan menciptakan opini publik untuk memenangkan Ganjar, dan menjelekan Jokowi dan menjatuhkan Prabowo dan Gibran. PDIP masanya sudah selesai. Bangsa ini bukan punya satu Partai saja. Jadi sudah  saatnya calon dari partai lainpun punya hak untuk bisa jadi pemimpin negara.",Mathias Letsoin,positif,negatif,
1,ganjar ngomong apa si....,asa,,negatif,
2,"Pak Prabowo Subianto bukan hanya kata tapi bukti nyata walopun tidak semua perkataannya tidak tersampaikan, jateng tetap Prabowo Subianto presiden 👍🙌",Ihsan Maulana,positif,,
4,"6:20:25 MOMEN REFLEKSI Bp. Prabowo, jujur awalnya saya melihat seperti candaan,  dan menunjukkan sikap sebenarnya pak Prabowo yang ""tidak bisa disetir sesuka hati"" 

 saya berkaca kaca dan haru mendengarnya... Apapun sanggahnya, Refleksi Pak Prabowo, sangatlah tulus, jujur dr dalam hati, dan menyimpan kekuatan dan cita2 besar dalam kata2nya...

Benar dawuh, Alm. Gus Dur, Prabowo orang yg paling Ikhlas buat negara ini...",Puput Ansory,positif,,
5,Pak Ganjar dan Pak Probowo lebih memiliki ide dan gagasan yang realitas dibandingkan calon satunya lagi.. keputusan ada ditangan kalian..,Three S Official,positif,positif,
6,"Jawaban dari lawan nyata dinastinya Presiden Jokowi adalah Anis Baswedan,.
Karena saya menganalisa Prabowo ataupun Ganjar Pranowo tetap Presiden Jokowi akan ikut andil di dalamnya kecuali Anis Baswedan...",Wir Dan,negatif,negatif,positif
7,Masya Allah makin cinta sama pak Anis😍🇲🇨,Bilik tuang by TUTI SOFIE,,,positif
8,"Anies lah Yg paling bagus dalam menyelesaikan permalasahan yg diajukan,
Kalau ganjar hanya cerita kosong tidak menjawab apa point yg ditanyakan, dari sini kita tau mana yg harus kita pilih",ASMAR AWI,,negatif,positif
9,saya sekeluarga dukung pak anis👍,dakwah  ahlulsunah,,,positif
11,Pak ganjar paling❤❤❤❤❤,historyHD,,positif,
12,Semakin yakin pilih Ganjar-Mahfud 💪🏼,Hugo Avianto,,positif,
13,"Insya Allah pak prabowo menang, org plg tulus utk NKRI",Ardjuna 07,positif,,
14,"Pak anis paling top 👍 mantap, salam perubahan ✋",Tholib Syaputra,,,positif
15,Setelah saya melihat dan menilai. saya lebih cocok ARB yang cocok jadi Presiden.,Ryan1126,,,positif
16,"Anies :    89% : skills
                -Minus: non integritas
               90% kata-kata
                10% kerja
Ganjar :   88% skills
                -Minus kurang bahasa inggris 
                55% kata-kata
               45% kerja
Prabowo:  86% skills
                   -minus: menganut paham             orba/dinasti
                   30% kata-kata
                   30% kerja 
                   40% dinasti Kartanegara 
Jokowi: 78 %: skills
              -minus dinasti keluarga, aturan konstitusi 
               20% kata-kata
               55% kerja
               25% dinasti",Geovan N,positif,positif,positif
17,Dengar Anis ngomong knp y tersa mual..ingat janjinya di DKI..program ok Oce..diberimodal..dilatih..dicarikan pasarny..di Carikan pembeliny..nytanya 0 besar😂😂😂😂,Heriyanto Lazarus,,,negatif
18,Pendukung pak anies sini like komen,ᴏᴩᴩᴀʟⓥ,,,positif
19,"Anis contoh udh contoh lagi contoh ntr contoh lagi,pas udah mejabat cmn kerjain contoh aja",Yudisthira Putra,,,negatif
20,"Bismillah saya mantap pilih pak Ganjar RI 1,setiap apa yg beliau sampaikan masuk akal dan menyentuh hati saya sebagai org nda mampu❤",MAYYA DI INDONESIA,,positif,
21,"Paling  bagus pak prabowo untuk saat ini sbg peganti pak jokowi yg  dulu saya juga memilih pak jkw sbg presiden.
 ""Mereka tidak banyak ekspetasi,tp cita2 dan tdk ngegampangin ucapan. Yg tdk realistis.",ER18 Channel,positif,,
22,"Rata2 lebih 80% komentar ny pilih anis smw..
Semoga menjadi sebab doanya dikabulkan tuhan beliau jadi presiden kita",Febri Fadli,,,positif
23,Makin yakin Anies terbaik,agus prasetyo Utomo,,,positif
24,"Dari 3 capres yang di suruh refleksi, cuman prabowo subianto yang ngeyel, tp dari situ saya faham, bahwa beliau bukan type orang yang  gak bisa di atur jika harga diri bangsa di rendahkan.",dennyrisqi meyandrian,positif,,
25,"Di sini Saya tidak menilai siapa yang paling cerdas dan yang paling pandai berbicara, tapi saya melihat dari aura ketiga bacapres ini, yang paling cinta rakyat, tulus membantu, ikhlas, sabar, baik, tidak angkuh dendam dan ingin bekerja keras untuk kemakmuran dan kemajuan bangsa ialah pak prabowo",Julian Anto,positif,,
26,Anies Baswedan presiden😊,Ikhwal Irmanyah bin sams,,,positif
27,"Pak ANIES? Maksud konoha itu, sini sy jelasin ya.di negara kita tu presiden nya mirip cerita nya sama kaya di anime jepang (naruto). Bukan nya buat ketidak bebasan berpendapat. Pak, hadeh.
Gagal faham ya pak? Wkkk",Rendy Pitono,,,negatif
28,"Segitu nya jegal anies, yg bantu anies lgsg di periksa pakai alat negara",Roni Dokzer,,,positif
29,Hidup Prabowo presiden RI,windy ananda,positif,,
30,Prabowo speech gw ga ngerti..tapi keren.. materinya berat bro...,My Happines,positif,,
31,Pelawak juga pak prabowo,sopian hetfield,negatif,,
32,tenang pak prabowo.... sallam dari bali,Mlbb Azka,positif,,
33,saya bukan pendukung bapak prabowo tapi setelah saya nonton video ini pendapat saya hanya bapak prabowo saja yang tulus apa adanya tanpa dibuat2 baik itu dalam bersikap ataupun berkata2 pada saat berinteraksi dengan teman2 di UGM,andy setiawan,positif,,
34,"Yah presiden nya gak bisa ngapa ngapain, karena dia cuma diusung partai jadi presidennya gak guna, kalo prabowo partai sendri jadi kaga ada yang ngatur",Randy Rahmadan,positif,,
35,"Pak ganjar gaya bicaranya dalam menjawab pertanyaan ko kaya pelawak,?",Orang kecil,,negatif,
36,"dari Ketiga Capres ...yg Paling OK adalah Anis Baswedan ..Insya Allah : Sholeh, Berilmu, Amanah,Secara Fisik sangat Pantas Menjadi Presiden...",Adi@manyaran,,,positif
37,Pilih prabowo kalau g gt Ganjar 🎉🎉🎉,Erni Ibuke Gavi,positif,positif,
38,Insya allah pak anis klo jadi presiden keluarganya ga mabuk jabatan ingat pak harto punya punya semua tapi anak2nya tetap pengusaha,Biar Sepuluh,,,positif
39,Kallo Prabowo masuk presiden Indonesia tidak aman akan di perang terus,Sensi Jeharut,negatif,,
41,"Maaf buat pak anis coba ngomongnya jangan kota kota trus kami ini diamnya di desa bukan dikota,dan bahasanya coba pake bahasa yg mudah di pahami kami ini orang awam",Sultan Azmi,,,negatif
