,textOriginal,authorDisplayName,Prabowo,Ganjar,Anies
1,"Semua cara yang digunakan oleh Simpatisan Ganjar untuk menjatuhkan Prabowo dengan mengaitkan dengan ormas radikal yakni berusaha membentuk opini masyarakat agar rakyat pilih Ganjar dan Mahmud. Sudah saatnya orang mudah yang berprestasi dan cerdas pimpin bangsa Indonesia. Prabowo tetap Presiden. Semua Presiden dari Soekarno sampai Jokowi adalah Dinasti keluarga, dinasti suku, Dinasti kekuasaan. Jadi semua warga negara punya hak untuk menjadi pemimpin. NKRI kekuasaan ada ditangan rakyat bukan di Presiden. Jadi Gibran biar mudapun bisa pimpin ada rakyat yang kontrol kinerja melalui DPRI. Kaum muda maju terus. Jangan menciptakan opini publik untuk memenangkan Ganjar, dan menjelekan Jokowi dan menjatuhkan Prabowo dan Gibran. PDIP masanya sudah selesai. Bangsa ini bukan punya satu Partai saja. Jadi sudah  saatnya calon dari partai lainpun punya hak untuk bisa jadi pemimpin negara.",Mathias Letsoin,Prabowo,Ganjar,
2,ganjar ngomong apa si....,asa,,Ganjar,
5,"Pak Prabowo Subianto bukan hanya kata tapi bukti nyata walopun tidak semua perkataannya tidak tersampaikan, jateng tetap Prabowo Subianto presiden 👍🙌",Ihsan Maulana,Prabowo,,
6,Sayang merinding liat perabowo bibawa nya ❤,Harih Hari,Prabowo,,
7,"6:20:25 MOMEN REFLEKSI Bp. Prabowo, jujur awalnya saya melihat seperti candaan,  dan menunjukkan sikap sebenarnya pak Prabowo yang ""tidak bisa disetir sesuka hati"" 

 saya berkaca kaca dan haru mendengarnya... Apapun sanggahnya, Refleksi Pak Prabowo, sangatlah tulus, jujur dr dalam hati, dan menyimpan kekuatan dan cita2 besar dalam kata2nya...

Benar dawuh, Alm. Gus Dur, Prabowo orang yg paling Ikhlas buat negara ini...",Puput Ansory,Prabowo,,
9,Pak Ganjar dan Pak Probowo lebih memiliki ide dan gagasan yang realitas dibandingkan calon satunya lagi.. keputusan ada ditangan kalian..,Three S Official,,Ganjar,
10,"Jawaban dari lawan nyata dinastinya Presiden Jokowi adalah Anis Baswedan,.
Karena saya menganalisa Prabowo ataupun Ganjar Pranowo tetap Presiden Jokowi akan ikut andil di dalamnya kecuali Anis Baswedan...",Wir Dan,Prabowo,Ganjar,Anies
11,Masya Allah makin cinta sama pak Anis😍🇲🇨,Bilik tuang by TUTI SOFIE,,,Anies
12,"Anies lah Yg paling bagus dalam menyelesaikan permalasahan yg diajukan,
Kalau ganjar hanya cerita kosong tidak menjawab apa point yg ditanyakan, dari sini kita tau mana yg harus kita pilih",ASMAR AWI,,Ganjar,Anies
16,saya sekeluarga dukung pak anis👍,dakwah  ahlulsunah,,,Anies
17,Panggah Pranowo-Gibran,Masdan Mbois,,Ganjar,
20,Pak ganjar paling❤❤❤❤❤,historyHD,,Ganjar,
23,Semakin yakin pilih Ganjar-Mahfud 💪🏼,Hugo Avianto,,Ganjar,
24,"Insya Allah pak prabowo menang, org plg tulus utk NKRI",Ardjuna 07,Prabowo,,
25,"Pak anis paling top 👍 mantap, salam perubahan ✋",Tholib Syaputra,,,Anies
26,Setelah saya melihat dan menilai. saya lebih cocok ARB yang cocok jadi Presiden.,Ryan1126,,,Anies
28,"Anies :    89% : skills
                -Minus: non integritas
               90% kata-kata
                10% kerja
Ganjar :   88% skills
                -Minus kurang bahasa inggris 
                55% kata-kata
               45% kerja
Prabowo:  86% skills
                   -minus: menganut paham             orba/dinasti
                   30% kata-kata
                   30% kerja 
                   40% dinasti Kartanegara 
Jokowi: 78 %: skills
              -minus dinasti keluarga, aturan konstitusi 
               20% kata-kata
               55% kerja
               25% dinasti",Geovan N,Prabowo,Ganjar,Anies
30,Dengar Anis ngomong knp y tersa mual..ingat janjinya di DKI..program ok Oce..diberimodal..dilatih..dicarikan pasarny..di Carikan pembeliny..nytanya 0 besar😂😂😂😂,Heriyanto Lazarus,,,Anies
31,Pendukung pak anies sini like komen,ᴏᴩᴩᴀʟⓥ,,,Anies
32,"Anis contoh udh contoh lagi contoh ntr contoh lagi,pas udah mejabat cmn kerjain contoh aja",Yudisthira Putra,,,Anies
